영화명	개봉일	매출액	매출액 점유율	관객수	스크린수	상영횟수	대표국적	국적	배급사
미혹	44853	99154791	0	12061	224	2012	한국	한국	"(주)엔케이컨텐츠,(주)디스테이션"
9명의 번역가	44818	98106508	0	9371	99	1269	프랑스	프랑스	(주)이놀미디어
아라시 20주년 투어 콘서트 5?20	44804	96418000	0	6519	18	227	일본	일본	찬란
소설가의 영화	44672	96112570	0	10555	66	1812	한국	한국	"(주)영화제작전원사 ,(주)콘텐츠판다"
멘	44755	95589560	0	10474	96	1128	미국	미국	판씨네마(주)
아인보: 아마존의 전설	44860	95259956	0	11591	385	978	페루	"페루,네덜란드,미국"	(주)디스테이션
풀타임	44791	94395698	0	10140	59	993	프랑스	프랑스	주식회사 슈아픽처스
위대한 침묵	44741	94328670	0	10098	48	607	한국	한국	"(주)지티지그룹,와이드 릴리즈(주)"
모어	44735	93153900	0	11009	54	1170	한국	한국	(주)엣나인필름
"굿 럭 투 유, 리오 그랜드"	44784	91674216	0	9447	46	856	영국	영국	"㈜무비다이브,(주)퍼스트런"
프랑스	44574	90984190	0	9650	54	1238	프랑스	프랑스	M&M 인터내셔널
피는 물보다 진하다	44706	90700500	0	14201	78	981	한국	한국	(주)이놀미디어
토르: 마법 검의 전설	44685	90551300	0	11583	201	924	독일	독일	(주)박수엔터테인먼트
더 컨트랙터	44679	90330780	0	11365	161	1266	미국	미국	(주)제이앤씨미디어그룹
매스	44699	88134300	0	9486	68	1071	미국	미국	오드
오! 마이 고스트	44819	87894391	0	11124	283	1876	한국	한국	"(주)디스테이션,주식회사 제이씨엔터웍스"
패러렐 마더스	44651	87552800	0	9477	88	1317	스페인	스페인	(주)스튜디오디에이치엘
라라랜드	42711	86147000	0	8793	5	220	미국	미국	판씨네마(주)
미싱타는 여자들	44581	85071720	0	10469	39	967	한국	한국	(주)영화사 진진
신데렐라 2: 마법에 걸린 왕자	44552	84516570	0	9549	190	917	미국	미국	(주)박수엔터테인먼트
"파리, 13구"	44693	84501760	0	8677	59	1088	프랑스	프랑스	"찬란,(주)하이스트레인저"
극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아	44539	82748600	0	8178	34	795	일본	일본	(주)애니플러스
베르네 부인의 장미정원	44721	82332400	0	9086	37	719	프랑스	프랑스	찬란
램	44559	79252320	0	7765	118	1002	기타	기타	오드
물방울을 그리는 남자	44832	76931800	0	8554	47	932	한국	한국	(주)영화사 진진
녹턴	44791	76761100	0	10890	54	659	한국	한국	(주)시네마달
